company,enterprise_number
SIEMENS GAMESA RENEWABLE ENERGY,South Africa > K2016224688
STEER CAPITAL,South Africa > K2017449063
DANFOSS SOUTH AFRICA,South Africa > M1978000430
WELLSWORTH CAPITAL GROUP,South Africa > K2015436355
MANDG INVESTMENT MANAGERS,South Africa > K2013051515
ASCENT CAPITAL PARTNERS,South Africa > K2018522279
ISOLEX,South Africa > M1970014778
BUNGE ZA,South Africa > M2011002186
GARAGESURE CONSULTANTS AND ACCEPTANCES,South Africa > M2000018704
BALAMORY INVESTMENTS,South Africa > B2006226025
ALPHA INVEST,South Africa > K2021998004
PURPLE HILL CAPITAL,South Africa > M2010004699
MARS CONSUMER PRODUCTS AFRICA,South Africa > M1997014466
LENTUS ASSET MANAGEMENT,South Africa > M2003026928
TAMPLE CAPITAL,South Africa > K2015241042
BIT4X,South Africa > K2019039272
COURTNEY CAPITAL MANAGEMENT,South Africa > M2008015963
UBS SOUTH AFRICA,South Africa > M1995011140
DENEL,South Africa > M1992001337
PASSIVES FUNDING (RF),South Africa > K2012117329
MEAGO,South Africa > M2004033629
METOPE INVESTMENT MANAGERS,South Africa > M2004035077
EXXARO RESOURCES,South Africa > M2000011076
MACQUARIE SECURITIES SOUTH AFRICA,South Africa > M2006023546
HARVARD HOUSE INVESTMENT MANAGEMENT,South Africa > M2002002754
OYSTER CATCHER INVESTMENTS,South Africa > K2019227625
BUNGE SOUTH AFRICA,South Africa > K2012219256
VUNANI SECURITIES,South Africa > M1997010323
PEREGRINE CAPITAL,South Africa > M1998004238
AFRICAN PHOENIX INVESTMENTS,South Africa > M1946021193
ROOTSTOCK INVESTMENT MANAGEMENT,South Africa > M2008013785
DAT MBATHA INVESTMENTS AND WEALTH CREATION,South Africa > K2018469312
HULAMIN OPERATIONS,South Africa > M1999020410
MOODY'S INVESTORS SERVICE SOUTH AFRICA,South Africa > M2002014566
IX CAPITAL,South Africa > K2020874090
